State,Area_Name,HH_income_2010,HH_income_2011,HH_income_2012,HH_income_2013,HH_income_2014,HH_income_2015,HH_income_2016,HH_income_2017
AR,Garland County,"36,690","35,651","39,617","39,057","40,621","37,723","42,087","44,662"
AR,Grant County,"45,347","46,538","47,421","47,089","46,067","47,652","54,411","54,819"
AR,Greene County,"36,391","37,893","38,771","40,840","42,572","43,996","45,208","46,029"
AR,Hempstead County,"31,786","30,922","32,292","33,715","33,136","34,560","38,769","39,505"
AR,Hot Spring County,"37,243","38,082","41,754","39,927","37,831","39,851","46,313","42,329"
AR,Howard County,"32,543","33,079","33,049","32,740","37,336","33,199","36,166","36,744"
AR,Independence County,"35,888","34,690","37,818","37,761","41,085","38,241","42,520","42,332"
AR,Izard County,"29,883","31,245","29,663","33,308","32,744","35,355","36,987","37,958"
AR,Jackson County,"30,405","32,750","30,604","32,923","32,427","32,571","35,098","36,235"
AR,Jefferson County,"35,092","37,704","36,346","36,169","35,927","36,990","38,485","38,677"
AR,Johnson County,"32,326","34,182","34,322","33,634","34,923","35,877","37,205","39,798"
AR,Lafayette County,"29,084","30,057","28,857","30,642","32,225","33,864","32,288","33,378"
AR,Lawrence County,"32,869","32,678","29,229","34,740","34,916","34,808","39,015","40,777"
AR,Lee County,"25,944","27,894","26,046","27,068","28,006","28,481","26,912","28,875"
AR,Lincoln County,"35,070","35,854","36,222","36,062","37,644","40,216","35,419","43,821"
AR,Little River County,"37,260","38,937","35,406","36,310","37,691","39,265","43,567","42,063"
AR,Logan County,"36,015","34,000","33,850","34,090","36,391","37,924","39,361","37,676"
AR,Lonoke County,"50,021","49,579","51,212","55,648","54,459","56,240","56,247","54,378"
AR,Madison County,"34,547","34,292","33,428","36,358","39,158","41,007","39,059","40,568"
AR,Marion County,"31,438","32,685","31,516","34,217","33,181","34,946","33,950","39,539"
AR,Miller County,"37,806","37,728","38,225","40,005","40,877","39,005","38,412","44,325"
AR,Mississippi County,"32,169","33,426","34,058","34,285","33,577","34,888","35,846","39,678"
AR,Monroe County,"28,637","27,758","29,032","29,870","30,682","30,801","32,906","32,427"
AR,Montgomery County,"32,032","31,603","32,779","31,763","34,597","37,813","36,435","35,500"
AR,Nevada County,"32,896","31,590","32,107","33,341","30,935","35,914","37,612","46,687"
AR,Newton County,"30,965","31,224","29,316","31,824","35,895","33,679","33,107","34,036"
AR,Ouachita County,"35,971","35,095","32,749","35,006","34,971","37,987","36,016","39,576"
AR,Perry County,"39,054","38,858","40,119","42,328","40,556","43,020","43,819","44,118"
AR,Phillips County,"26,933","26,892","26,013","25,894","28,171","28,224","29,073","27,663"
AR,Pike County,"31,569","30,054","33,144","35,592","36,893","36,266","34,821","37,493"
AR,Poinsett County,"32,130","30,761","32,248","34,113","35,851","32,756","36,125","39,778"
AR,Polk County,"29,938","31,030","31,749","31,818","33,127","34,723","32,941","35,678"
AR,Pope County,"39,040","38,095","40,206","39,704","39,909","41,074","42,916","45,803"
AR,Prairie County,"36,898","36,088","36,191","38,921","39,896","39,518","40,340","43,139"
AR,Pulaski County,"44,733","43,898","44,819","46,526","45,698","46,473","47,966","52,361"
AR,Randolph County,"33,401","33,210","33,870","33,148","37,761","34,730","38,647","35,989"
AR,St. Francis County,"29,825","28,467","32,932","29,011","30,489","31,625","39,675","31,561"
AR,Saline County,"53,430","54,372","57,787","54,921","55,915","56,926","63,618","61,384"
AR,Scott County,"29,633","31,163","30,630","32,404","33,202","36,028","34,245","33,354"
AR,Searcy County,"27,896","26,990","26,330","27,299","31,765","30,427","29,747","30,640"
AR,Sebastian County,"38,724","38,404","38,730","41,685","39,907","41,452","42,559","44,058"
AR,Sevier County,"35,279","30,899","32,662","33,698","37,014","41,848","38,697","41,649"
AR,Sharp County,"28,933","28,760","30,076","31,224","32,101","32,095","32,379","34,266"
AR,Stone County,"29,182","29,182","28,442","27,522","30,010","32,023","31,955","32,778"
AR,Union County,"36,934","37,193","40,026","38,132","40,841","42,195","41,546","43,827"
AR,Van Buren County,"32,142","34,513","35,876","35,111","32,975","38,306","38,166","36,244"
AR,Washington County,"39,692","39,230","41,856","43,302","45,589","46,418","46,367","50,400"
AR,White County,"39,974","42,958","40,950","43,363","42,044","42,508","44,329","44,088"
AR,Woodruff County,"27,003","27,357","29,184","29,159","29,969","31,013","30,400","32,271"
AR,Yell County,"33,522","33,747","38,322","34,679","37,080","37,415","38,658","40,325"
CA,California,"57,664","57,275","58,322","60,185","61,927","64,483","67,715","71,785"
CA,Alameda County,"66,937","67,295","70,209","72,128","76,996","81,462","89,472","95,550"
CA,Alpine County,"44,241","46,706","46,336","49,392","53,003","50,882","57,481","55,755"
CA,Amador County,"49,516","51,553","51,388","52,357","54,610","55,879","59,789","60,588"
CA,Butte County,"41,168","39,208","40,748","42,395","42,302","45,369","45,097","48,634"
CA,Calaveras County,"50,745","50,599","50,962","52,598","53,321","52,471","57,990","58,536"
CA,Colusa County,"44,981","47,469","49,871","48,897","48,006","51,118","54,861","53,595"
CA,Contra Costa County,"73,678","74,241","74,208","78,909","80,338","83,036","90,920","95,062"
CA,Del Norte County,"35,438","35,598","37,305","38,663","41,419","38,963","39,458","39,996"
CA,El Dorado County,"65,201","61,970","68,446","63,002","70,235","75,575","75,100","78,464"
CA,Fresno County,"44,869","42,572","41,563","43,741","43,338","46,608","48,323","51,452"
CA,Glenn County,"40,859","40,221","41,201","42,129","43,755","43,584","46,141","49,979"
CA,Humboldt County,"38,254","39,526","39,837","40,882","40,581","40,739","43,164","46,123"
CA,Imperial County,"39,261","36,898","38,185","40,106","38,737","39,925","43,327","43,413"
CA,Inyo County,"44,507","44,928","45,748","45,784","49,267","51,697","53,350","53,528"
CA,Kern County,"45,045","44,903","45,599","46,688","47,451","51,150","49,812","49,904"
CA,Kings County,"44,020","48,319","45,464","45,794","44,490","46,440","51,320","55,076"
CA,Lake County,"35,914","35,882","35,437","36,973","36,333","37,993","40,818","45,797"
CA,Lassen County,"50,093","47,938","47,480","50,487","49,995","54,670","49,793","58,776"
CA,Los Angeles County,"52,595","52,239","52,929","54,443","55,686","59,045","61,308","64,912"
CA,Madera County,"43,596","44,795","42,054","41,223","43,171","46,593","49,467","50,783"
CA,Marin County,"82,383","78,470","88,654","94,347","94,549","99,868","103,488","112,735"
CA,Mariposa County,"42,222","42,175","43,166","45,251","47,781","44,595","51,233","52,387"
CA,Mendocino County,"40,339","41,236","41,088","42,001","42,840","43,237","45,247","50,453"
CA,Merced County,"41,730","40,016","42,552","41,003","43,818","42,879","47,442","48,036"
CA,Modoc County,"34,579","34,654","36,724","37,055","39,172","38,402","42,890","40,970"
CA,Mono County,"52,768","48,758","53,067","55,107","59,181","53,992","56,574","60,318"
CA,Monterey County,"53,735","52,746","56,038","55,411","57,428","60,047","62,999","70,294"
CA,Napa County,"62,893","61,179","65,698","68,619","71,063","72,683","73,112","83,881"
CA,Nevada County,"54,154","53,833","54,230","55,246","57,118","57,627","60,501","64,901"
CA,Orange County,"70,727","72,046","71,866","73,827","76,061","78,002","81,642","86,031"
CA,Placer County,"68,330","69,581","69,521","73,643","75,689","76,203","85,326","81,366"
CA,Plumas County,"41,421","44,923","46,450","47,645","47,964","46,813","53,646","51,756"
CA,Riverside County,"53,981","52,491","52,416","53,909","56,877","57,895","59,951","63,776"
CA,Sacramento County,"52,655","52,236","52,617","52,980","55,803","58,735","59,728","62,959"
CA,San Benito County,"58,194","62,618","60,577","66,780","68,166","76,521","73,298","77,200"
CA,San Bernardino County,"52,270","51,017","50,603","52,112","51,951","53,526","56,194","60,270"
CA,San Diego County,"59,759","59,290","60,235","61,365","66,034","67,053","70,693","76,048"
CA,San Francisco County,"70,883","69,354","72,093","76,933","83,788","90,527","101,873","109,601"
CA,San Joaquin County,"49,742","50,376","50,431","51,219","51,527","53,341","59,038","60,950"
CA,San Luis Obispo County,"53,620","53,877","58,427","57,743","61,775","61,761","69,517","70,634"
CA,San Mateo County,"82,413","81,378","81,568","91,061","100,806","101,133","107,075","115,908"
CA,Santa Barbara County,"56,243","59,494","60,683","60,803","62,116","63,049","66,360","70,651"
CA,Santa Clara County,"84,627","84,741","91,195","91,843","97,219","102,191","110,843","118,468"
CA,Santa Cruz County,"60,247","61,228","65,799","65,282","64,257","64,841","75,929","76,633"
CA,Shasta County,"41,058","41,796","44,477","41,236","43,661","45,943","46,663","51,207"
CA,Sierra County,"42,800","45,060","45,157","46,449","47,293","47,535","48,099","49,495"
CA,Siskiyou County,"36,001","35,175","36,597","37,108","38,641","37,447","40,875","44,013"
CA,Solano County,"62,948","63,090","61,976","63,398","67,106","67,202","73,200","75,931"
CA,Sonoma County,"58,703","60,792","59,855","61,020","66,949","66,463","73,496","79,511"
CA,Stanislaus County,"47,442","44,287","46,324","47,808","50,917","51,949","54,060","58,925"
CA,Sutter County,"46,188","48,749","46,524","47,903","51,827","50,810","51,283","54,102"
CA,Tehama County,"38,188","37,297","38,577","43,459","40,782","40,292","40,585","41,819"
CA,Trinity County,"35,207","33,163","35,162","35,708","34,961","37,669","38,727","40,676"
CA,Tulare County,"42,377","40,599","40,197","39,657","42,360","42,637","45,768","46,377"
CA,Tuolumne County,"44,751","43,530","46,624","50,774","49,476","53,136","50,431","58,776"
CA,Ventura County,"71,418","74,019","71,043","76,513","74,967","79,285","79,470","82,436"
CA,Yolo County,"54,433","50,174","51,040","55,011","54,509","58,766","63,645","64,900"
CA,Yuba County,"41,045","43,299","41,599","41,824","41,403","46,500","46,054","53,822"
CO,Colorado,"54,411","55,530","56,880","58,942","61,324","63,945","65,718","69,113"
CO,Adams County,"52,785","52,429","55,695","54,876","59,316","62,991","65,442","65,977"
CO,Alamosa County,"36,339","36,870","37,731","37,484","38,140","40,067","37,057","43,121"
CO,Arapahoe County,"58,152","57,042","60,525","61,092","65,359","67,062","70,866","75,196"
CO,Archuleta County,"46,165","48,043","46,127","44,417","44,508","50,361","51,998","52,481"
CO,Baca County,"33,086","34,168","37,775","35,787","36,294","35,405","34,070","35,725"
CO,Bent County,"33,702","35,522","33,540","34,440","35,424","36,630","33,951","37,307"
CO,Boulder County,"62,215","68,101","66,894","71,405","71,546","72,392","74,772","80,701"
CO,Broomfield County,"76,006","79,051","81,040","79,117","85,885","86,548","86,870","91,968"
CO,Chaffee County,"42,420","44,156","44,651","48,012","48,840","50,947","49,877","53,545"
CO,Cheyenne County,"44,464","46,965","51,093","50,379","52,273","50,620","50,558","50,571"
CO,Clear Creek County,"64,822","65,420","65,359","63,489","69,115","67,262","68,699","71,850"
CO,Conejos County,"32,254","32,588","31,970","34,923","33,998","37,102","34,390","36,852"
CO,Costilla County,"27,305","26,125","26,075","28,233","27,882","27,944","27,211","30,486"
CO,Crowley County,"34,569","30,279","30,460","31,477","32,570","35,405","35,873","38,112"
CO,Custer County,"42,951","45,791","46,744","47,268","48,368","43,995","52,021","54,080"
CO,Delta County,"40,288","41,442","41,208","41,730","45,283","42,586","41,798","43,528"
CO,Denver County,"45,415","47,584","50,455","51,156","54,872","57,886","61,038","64,974"
CO,Dolores County,"40,511","39,650","39,254","42,416","44,235","44,829","46,791","44,882"
CO,Douglas County,"97,806","95,973","98,426","105,192","107,250","109,926","112,399","112,386"
CO,Eagle County,"69,182","67,190","69,870","78,517","76,661","75,191","79,556","88,913"
CO,Elbert County,"78,550","78,029","81,528","80,972","83,603","90,270","86,693","102,731"
CO,El Paso County,"51,553","54,857","55,312","57,072","59,286","60,050","63,610","65,260"
CO,Fremont County,"40,543","41,493","40,809","41,412","41,385","41,967","46,372","48,820"
CO,Garfield County,"60,456","57,617","54,088","57,364","62,529","64,487","69,161","71,897"
CO,Gilpin County,"63,024","60,537","61,447","64,962","64,752","67,389","65,472","79,636"
CO,Grand County,"55,818","56,980","56,191","57,312","59,379","59,885","63,875","61,241"
CO,Gunnison County,"47,698","43,069","49,861","48,391","48,940","47,619","53,753","53,480"
CO,Hinsdale County,"48,195","49,024","50,177","52,188","51,241","58,613","51,717","59,157"
CO,Huerfano County,"31,696","30,655","31,574","32,418","32,750","33,098","34,626","37,424"
CO,Jackson County,"43,691","43,206","43,190","43,549","45,073","46,905","46,671","48,785"
CO,Jefferson County,"64,181","64,412","67,401","68,161","70,687","71,209","74,342","80,562"
CO,Kiowa County,"37,600","41,427","40,216","42,378","42,310","42,108","43,951","43,845"
CO,Kit Carson County,"39,498","43,078","44,059","39,633","46,394","44,090","48,272","44,028"
CO,Lake County,"43,565","42,768","45,504","47,547","46,765","45,913","49,064","49,799"
CO,La Plata County,"53,029","52,276","55,888","58,675","60,658","60,732","58,499","61,974"
CO,Larimer County,"54,739","55,501","56,132","59,337","57,659","64,935","66,561","69,443"
CO,Las Animas County,"37,700","40,191","38,713","38,547","39,625","38,858","38,224","39,552"
CO,Lincoln County,"39,230","42,734","38,098","41,510","41,248","43,188","42,969","45,308"
CO,Logan County,"40,637","43,823","42,740","43,561","45,439","46,306","49,407","50,246"
CO,Mesa County,"47,324","47,778","46,940","48,108","50,106","51,449","49,825","52,623"
CO,Mineral County,"45,645","46,956","47,169","50,286","51,257","50,481","52,641","55,906"
CO,Moffat County,"55,913","52,257","57,023","58,890","56,193","59,173","54,151","57,680"
CO,Montezuma County,"41,074","41,817","40,351","43,655","44,163","42,975","40,679","48,692"
CO,Montrose County,"44,002","43,035","45,226","43,946","46,336","46,860","43,285","51,031"
CO,Morgan County,"43,209","41,246","44,577","46,332","47,631","49,087","49,129","50,453"
CO,Otero County,"34,360","30,420","35,026","36,811","33,043","34,970","36,773","37,907"
CO,Ouray County,"54,920","57,922","61,657","58,137","57,242","60,402","66,813","63,627"
CO,Park County,"66,400","58,565","60,731","57,510","58,487","63,319","68,535","69,884"
CO,Phillips County,"44,064","43,826","46,216","46,805","47,006","48,562","49,046","52,096"
CO,Pitkin County,"65,568","69,229","67,057","71,012","73,274","76,663","74,576","78,596"
CO,Prowers County,"34,488","36,563","36,580","38,830","39,184","41,348","40,164","41,238"
CO,Pueblo County,"39,107","40,764","41,209","41,352","41,382","40,540","44,644","44,060"
CO,Rio Blanco County,"59,308","60,022","57,922","59,364","63,184","61,426","58,980","58,336"
CO,Rio Grande County,"37,300","37,472","37,837","39,834","40,593","40,259","41,128","41,693"
CO,Routt County,"60,506","64,998","62,271","63,763","66,846","70,989","71,322","76,505"
CO,Saguache County,"30,985","30,746","30,197","35,310","31,227","34,209","33,973","36,558"
CO,San Juan County,"37,001","36,547","35,734","41,683","40,006","43,489","44,652","46,985"
CO,San Miguel County,"62,368","57,578","53,477","53,674","59,603","62,793","67,251","70,418"
CO,Sedgwick County,"36,749","37,511","37,633","39,980","44,562","40,325","42,518","39,880"
CO,Summit County,"60,087","60,397","61,286","63,236","68,352","69,633","70,265","75,420"
CO,Teller County,"59,966","60,313","59,558","62,725","62,380","66,191","63,966","68,078"
CO,Washington County,"40,914","43,433","43,446","45,572","45,784","47,592","46,304","48,325"
CO,Weld County,"52,334","51,773","55,332","58,404","61,501","69,434","63,609","68,679"
CO,Yuma County,"43,361","46,246","45,059","45,487","46,838","48,934","48,963","48,893"
CT,Connecticut,"64,321","65,822","67,275","67,262","70,007","71,333","73,380","74,428"
