State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
01,123,AL,Tallapoosa County,"7,725","6,175","9,275",18.8,15.0,22.6,"2,699","2,147","3,251",29.8,23.7,35.9,"1,776","1,359","2,193",27.0,20.7,33.3,"37,686","35,064","40,308",,,,,,
01,125,AL,Tuscaloosa County,"37,718","34,040","41,396",20.2,18.2,22.2,"10,967","9,464","12,470",26.6,23.0,30.2,"7,569","6,391","8,747",25.7,21.7,29.7,"42,086","39,722","44,450",,,,,,
01,127,AL,Walker County,"14,511","12,553","16,469",22.1,19.1,25.1,"4,354","3,636","5,072",29.7,24.8,34.6,"2,805","2,246","3,364",25.9,20.7,31.1,"35,423","33,022","37,824",,,,,,
01,129,AL,Washington County,"3,238","2,536","3,940",18.9,14.8,23.0,"1,171",898,"1,444",27.4,21.0,33.8,729,536,922,22.3,16.4,28.2,"39,203","35,807","42,599",,,,,,
01,131,AL,Wilcox County,"4,536","3,680","5,392",39.9,32.4,47.4,"1,538","1,196","1,880",51.2,39.8,62.6,"1,050",802,"1,298",44.8,34.2,55.4,"20,990","19,276","22,704",,,,,,
01,133,AL,Winston County,"4,754","3,725","5,783",19.8,15.5,24.1,"1,579","1,198","1,960",30.3,23.0,37.6,"1,110",831,"1,389",28.6,21.4,35.8,"31,018","28,288","33,748",,,,,,
02,000,AK,Alaska,"76,021","72,599","79,443",10.8,10.3,11.3,"27,192","25,130","29,254",14.7,13.6,15.8,"17,857","16,000","19,714",13.6,12.2,15.0,"65,699","64,147","67,251","8,473","7,472","9,474",15.8,13.9,17.7
02,013,AK,Aleutians East Borough,562,453,671,17.8,14.4,21.2,63,48,78,17.5,13.3,21.7,41,30,52,16.0,11.8,20.2,"51,289","47,291","55,287",,,,,,
02,016,AK,Aleutians West Census Area,532,422,642,10.1,8.0,12.2,69,52,86,9.2,6.9,11.5,43,31,55,7.9,5.6,10.2,"59,362","53,579","65,145",,,,,,
02,020,AK,Anchorage Borough,"24,409","21,428","27,390",8.5,7.5,9.5,"9,122","7,607","10,637",12.2,10.2,14.2,"6,136","5,021","7,251",11.7,9.6,13.8,"71,237","68,073","74,401",,,,,,
02,050,AK,Bethel Census Area,"4,028","3,361","4,695",23.5,19.6,27.4,"1,885","1,467","2,303",30.3,23.6,37.0,"1,201",874,"1,528",27.5,20.0,35.0,"43,314","39,954","46,674",,,,,,
02,060,AK,Bristol Bay Borough,92,72,112,9.1,7.2,11.0,26,19,33,11.2,8.2,14.2,17,12,22,9.2,6.4,12.0,"61,905","55,626","68,184",,,,,,
02,068,AK,Denali Borough,107,82,132,5.8,4.4,7.2,32,23,41,7.9,5.8,10.0,20,14,26,6.6,4.6,8.6,"68,899","62,469","75,329",,,,,,
02,070,AK,Dillingham Census Area,"1,054",829,"1,279",21.3,16.8,25.8,438,327,549,27.4,20.4,34.4,276,195,357,24.6,17.3,31.9,"46,427","41,723","51,131",,,,,,
02,090,AK,Fairbanks North Star Borough,"9,045","7,547","10,543",9.5,7.9,11.1,"2,717","2,108","3,326",11.0,8.5,13.5,"1,729","1,296","2,162",10.3,7.7,12.9,"64,396","60,499","68,293",,,,,,
02,100,AK,Haines Borough,286,217,355,11.2,8.5,13.9,87,64,110,17.2,12.6,21.8,57,40,74,14.9,10.4,19.4,"51,350","46,220","56,480",,,,,,
02,105,AK,Hoonah-Angoon Census Area,390,300,480,18.5,14.2,22.8,104,76,132,24.6,18.1,31.1,69,49,89,23.2,16.5,29.9,"40,896","36,784","45,008",,,,,,
02,110,AK,Juneau Borough,"2,363","1,809","2,917",7.5,5.7,9.3,762,564,960,10.4,7.7,13.1,474,338,610,8.9,6.3,11.5,"74,219","68,798","79,640",,,,,,
02,122,AK,Kenai Peninsula Borough,"5,812","4,734","6,890",10.6,8.6,12.6,"1,810","1,368","2,252",13.9,10.5,17.3,"1,191",870,"1,512",12.6,9.2,16.0,"60,360","56,570","64,150",,,,,,
02,130,AK,Ketchikan Gateway Borough,"1,551","1,258","1,844",11.6,9.4,13.8,474,352,596,15.1,11.2,19.0,305,218,392,13.8,9.9,17.7,"59,092","53,959","64,225",,,,,,
02,150,AK,Kodiak Island Borough,"1,319","1,079","1,559",9.6,7.8,11.4,414,311,517,10.8,8.1,13.5,256,182,330,9.5,6.8,12.2,"66,935","61,548","72,322",,,,,,
02,164,AK,Lake and Peninsula Borough,272,209,335,16.4,12.6,20.2,106,77,135,22.0,16.1,27.9,69,48,90,20.2,14.1,26.3,"47,612","44,403","50,821",,,,,,
02,170,AK,Matanuska-Susitna Borough,"10,491","8,795","12,187",11.6,9.7,13.5,"3,767","2,991","4,543",14.7,11.7,17.7,"2,510","1,955","3,065",13.3,10.4,16.2,"68,999","64,697","73,301",,,,,,
02,180,AK,Nome Census Area,"2,542","2,171","2,913",26.4,22.6,30.2,"1,070",855,"1,285",32.2,25.7,38.7,695,530,860,30.5,23.3,37.7,"44,766","41,245","48,287",,,,,,
02,185,AK,North Slope Borough,"1,086",824,"1,348",11.5,8.7,14.3,321,237,405,14.1,10.4,17.8,202,143,261,13.2,9.4,17.0,"73,744","66,696","80,792",,,,,,
02,188,AK,Northwest Arctic Borough,"1,835","1,562","2,108",23.9,20.4,27.4,749,605,893,27.8,22.5,33.1,473,365,581,26.6,20.5,32.7,"54,680","50,381","58,979",,,,,,
02,195,AK,Petersburg Census Area,408,315,501,10.6,8.2,13.0,125,91,159,14.4,10.5,18.3,82,57,107,12.8,9.0,16.6,"54,434","48,885","59,983",,,,,,
02,198,AK,Prince of Wales-Hyder Census Area,980,765,"1,195",17.1,13.3,20.9,329,243,415,23.1,17.1,29.1,214,152,276,21.2,15.0,27.4,"42,649","38,517","46,781",,,,,,
02,220,AK,Sitka Borough,737,563,911,8.4,6.4,10.4,217,158,276,10.7,7.8,13.6,138,97,179,10.0,7.0,13.0,"61,956","56,328","67,584",,,,,,
02,230,AK,Skagway Municipality,43,33,53,4.6,3.5,5.7,13,9,17,9.4,6.8,12.0,9,6,12,10.2,7.2,13.2,"61,025","54,791","67,259",,,,,,
02,240,AK,Southeast Fairbanks Census Area,988,767,"1,209",13.9,10.8,17.0,363,269,457,19.6,14.5,24.7,234,167,301,17.4,12.4,22.4,"55,617","50,699","60,535",,,,,,
02,261,AK,Valdez-Cordova Census Area,900,704,"1,096",9.3,7.3,11.3,266,198,334,11.3,8.4,14.2,164,115,213,9.7,6.8,12.6,"63,887","57,593","70,181",,,,,,
02,270,AK,Wade Hampton Census Area,"2,570","2,146","2,994",33.6,28.1,39.1,"1,294","1,009","1,579",41.5,32.4,50.6,881,665,"1,097",40.5,30.6,50.4,"33,206","30,885","35,527",,,,,,
02,275,AK,Wrangell City and Borough,291,220,362,12.3,9.3,15.3,96,70,122,18.8,13.8,23.8,63,45,81,16.5,11.7,21.3,"43,120","39,069","47,171",,,,,,
02,282,AK,Yakutat Borough,83,63,103,12.8,9.8,15.8,26,19,33,17.1,12.5,21.7,17,12,22,15.6,10.9,20.3,"47,575","42,656","52,494",,,,,,
02,290,AK,Yukon-Koyukuk Census Area,"1,245",991,"1,499",22.1,17.6,26.6,445,335,555,28.7,21.6,35.8,291,210,372,26.4,19.1,33.7,"33,578","30,314","36,842",,,,,,
04,000,AZ,Arizona,"1,201,376","1,176,529","1,226,223",19.0,18.6,19.4,"434,571","420,527","448,615",27.2,26.3,28.1,"294,963","282,593","307,333",25.7,24.6,26.8,"46,710","46,173","47,247","132,554","125,574","139,534",29.9,28.3,31.5
04,001,AZ,Apache County,"26,096","23,485","28,707",36.5,32.8,40.2,"9,892","8,512","11,272",43.9,37.8,50.0,"6,558","5,492","7,624",40.0,33.5,46.5,"30,837","28,620","33,054",,,,,,
04,003,AZ,Cochise County,"24,723","21,022","28,424",19.6,16.7,22.5,"9,183","7,482","10,884",30.8,25.1,36.5,"6,183","4,897","7,469",29.3,23.2,35.4,"41,237","39,049","43,425",,,,,,
04,005,AZ,Coconino County,"27,316","24,007","30,625",21.6,19.0,24.2,"8,200","6,820","9,580",26.8,22.3,31.3,"5,749","4,713","6,785",26.5,21.7,31.3,"45,051","41,968","48,134",,,,,,
04,007,AZ,Gila County,"13,374","11,516","15,232",25.7,22.1,29.3,"4,184","3,421","4,947",37.7,30.8,44.6,"2,970","2,394","3,546",37.6,30.3,44.9,"35,898","33,888","37,908",,,,,,
04,009,AZ,Graham County,"8,655","7,093","10,217",26.0,21.3,30.7,"3,186","2,581","3,791",31.1,25.2,37.0,"2,139","1,677","2,601",29.9,23.4,36.4,"40,548","37,528","43,568",,,,,,
04,011,AZ,Greenlee County,"1,187",955,"1,419",13.9,11.2,16.6,429,336,522,17.7,13.8,21.6,286,220,352,16.2,12.5,19.9,"51,145","46,052","56,238",,,,,,
04,012,AZ,La Paz County,"4,861","3,769","5,953",24.2,18.8,29.6,"1,370","1,064","1,676",37.7,29.3,46.1,913,690,"1,136",35.4,26.7,44.1,"30,679","27,897","33,461",,,,,,
04,013,AZ,Maricopa County,"665,193","642,455","687,931",17.4,16.8,18.0,"248,542","236,352","260,732",25.1,23.9,26.3,"166,477","157,266","175,688",23.4,22.1,24.7,"50,785","50,105","51,465",,,,,,
04,015,AZ,Mohave County,"42,986","37,582","48,390",21.7,19.0,24.4,"14,910","12,608","17,212",37.4,31.6,43.2,"10,260","8,505","12,015",35.4,29.3,41.5,"35,998","33,453","38,543",,,,,,
04,017,AZ,Navajo County,"34,011","30,690","37,332",32.4,29.2,35.6,"13,772","12,182","15,362",44.5,39.4,49.6,"9,431","8,292","10,570",42.2,37.1,47.3,"32,425","30,262","34,588",,,,,,
04,019,AZ,Pima County,"197,078","186,134","208,022",20.4,19.3,21.5,"64,733","59,132","70,334",29.4,26.9,31.9,"44,859","40,895","48,823",28.5,26.0,31.0,"44,102","42,591","45,613",,,,,,
04,021,AZ,Pinal County,"61,863","54,768","68,958",17.4,15.4,19.4,"22,458","18,919","25,997",22.9,19.3,26.5,"16,183","13,553","18,813",23.5,19.7,27.3,"45,170","42,727","47,613",,,,,,
04,023,AZ,Santa Cruz County,"12,445","10,404","14,486",26.2,21.9,30.5,"4,985","3,918","6,052",35.1,27.6,42.6,"3,471","2,667","4,275",33.0,25.4,40.6,"35,500","32,250","38,750",,,,,,
04,025,AZ,Yavapai County,"38,480","33,251","43,709",18.4,15.9,20.9,"11,099","9,120","13,078",28.9,23.7,34.1,"7,306","5,797","8,815",25.7,20.4,31.0,"41,437","38,205","44,669",,,,,,
04,027,AZ,Yuma County,"43,109","36,808","49,410",22.3,19.0,25.6,"17,630","14,640","20,620",32.1,26.7,37.5,"12,178","10,032","14,324",30.7,25.3,36.1,"37,894","35,119","40,669",,,,,,
05,000,AR,Arkansas,"550,079","538,191","561,967",19.3,18.9,19.7,"194,242","187,760","200,724",27.8,26.9,28.7,"128,194","122,698","133,690",25.5,24.4,26.6,"38,889","38,167","39,611","62,668","59,124","66,212",32.6,30.8,34.4
05,001,AR,Arkansas County,"3,439","2,696","4,182",18.5,14.5,22.5,"1,229",937,"1,521",28.3,21.6,35.0,787,582,992,24.8,18.3,31.3,"37,922","34,348","41,496",,,,,,
