FIPS,State,Area_Name,POP_ESTIMATE_2014,HH_income_2014,Unemployment_rate_2014
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
11000.0,DC,District of Columbia,"662,513","69,992",7.8
